"","Bearbeiter/in","Bogennummer_alph","Bogennummer_num","Bogennummer_ind","Digi_Index","Ort","Ort_Zusatz","Kreis","Provinz","tray"
"725","JR","N",89,"1","Schutte_00_0059","Grünhoff","fr. Fischhausen","Samland","Ostpreussen","VII_3"
"726","JR","P",70,"1","Schutte_00_0060","Klucken","999","Stolp","Pommern","IV_25"
"727","JR","X",66,"1","Schutte_00_0061","Priddargen","999","Köslin","Pomm.","IV_31"
"728","JR","[N]",24,"1","Schutte_00_0062","Glücksburg","999","Flensburg","Schleswig-Holstein","999"
"729","JR","P",23,"1","Schutte_00_0063","Haurup","999","Flensburg","Schleswig-Holstein","I_1"
"730","JR","i''",51,"1","Schutte_00_0064","Glödnitz","999","St.Veit","Kärnten","VI_10"
"731","JR","q''",34,"1","Schutte_00_0065","Kurtatsch","999","Kurtatsch,Etschtal","[Bozen]","III_60"
"732","JR","999",999,"999","XXI_04_0001","Topportz","999","Oberzips","Slowakei","999"
"733","JR","999",999,"999","XXI_04_0002","Unter Schwaben","po[?]. Smerdso<U+0306>nka","Altendorf","Slowakei","999"
"734","JR","999",999,"999","XXI_04_0003","Pudlein","999","Oberzips","Slowakei","999"
"735","JR","999",999,"999","XXI_04_0004","Klein-Lomnitz","999","Käsmark","999","999"
"736","JR","999",999,"999","XXI_04_0005","Kniesen","999","Käsmark","Slowakei","999"
"737","JR","999",999,"999","XXI_04_0006","Hobgart","999","Oberzips","Slowakei","999"
"738","JR","999",999,"999","XXI_04_0007","Bierbrunn","999","Käsmark","999","999"
"739","JR","999",999,"999","XXI_04_0008","Malthern","999","Oberzips","Slowakei","999"
"740","JR","999",999,"999","XXI_04_0009","Bauschendorf","999","Käsmark","Zips","999"
"741","JR","999",999,"999","XXI_04_0010","Roks","(Rokus)","Oberzips","Slowakei","999"
"742","JR","999",999,"999","XXI_04_0011","Bela","Zipser {auf 4. Seite vorangestellt}","Käsmark","Tatragau","999"
"743","JR","999",999,"999","XXI_04_0012","Ne[l]re","999","Oberzips <Bezirk: Küsmark>","Tatragau","999"
"744","JR","999",999,"999","XXI_04_0013","Hollumtz","999","Oberzips","Land: Slowakei","999"
"745","JR","999",999,"999","XXI_04_0014","Meierhöfen","999","Käsmark","Oberzips","999"
"746","JR","999",999,"999","XXI_04_0015","Neuwalddorf","999","Oberzips, Deutschendorf {O auf S. 1, D auf 4}","Zips","999"
"747","JR","999",999,"999","XXI_04_0016","Alt-Walddorf","999","Käsmark","Slowakei","999"
"748","JR","999",999,"999","XXI_04_0017","Groß-Schlagendorf","999","Oberzips","Slowakei","999"
"749","JR","999",999,"999","XXI_04_0018","Mühlenbach","999","Käsmark","Zips, Slowakei","999"
"750","JR","999",999,"999","XXI_04_0019","Matzdorf","999","Zips","Oberzips Slowakei","999"
"751","JR","999",999,"999","XXI_04_0020","Vorberg","Forberg {auf S. 4}","Käsmark","Zips","999"
"752","JR","999",999,"999","XXI_04_0021","Käsmark","999","Käsmark","Slowakei","999"
"753","JR","999",999,"999","XXI_04_0022","Groß-Lomnitz","999","Oberzips","<Bezirk:> Käsmark","999"
"754","JR","999",999,"999","XXI_04_0023","Hunsdorf","999","Käsmark","Zips","999"
"755","JR","999",999,"999","XXI_04_0024","Leibitz","999","Käsmark","Slowakei","999"
"756","JR","999",999,"999","XXI_04_0025","Eisdorf","999","Oberzips","999","999"
"757","JR","999",999,"999","XXI_04_0026","Menhardsdorf","[v]rbov.","Käsmark","999","999"
"758","JR","999",999,"999","XXI_04_0027","Surelsdorf","999","Käsmark","Zips in der Slowakei","999"
"759","JR","999",999,"999","XXI_04_0028","Riesdorf","999","Käsmark","999","999"
"760","JR","999",999,"999","XXI_04_0029","Burgerhof","999","Leutschau","999","999"
"761","JR","999",999,"999","XXI_04_0030","Felka","999","Oberzips, Slowakei","999","999"
"762","JR","999",999,"999","XXI_04_0031","Georgenberg","999","Oberzips-Slowakei, Deutschendorf ","999","999"
"763","JR","999",999,"999","XXI_04_0032","Michelsdorf","999","Oberzips","Slowakei","999"
"764","JR","999",999,"999","XXI_04_0033","Poprad","Deutschendorf","Käsmark {auf S. 1}, Poprad {auf S. 4}","Zips, Slowakei","999"
"765","JR","999",999,"999","XXI_04_0034","Kirchdrauf","999","Leutschau","Zips, Slowakei","999"
"766","JR","999",999,"999","XXI_04_0035","Zipser Neudorf","Sp. Nová Ves","Zips {auf S. 1}, Zipser-Neudorf {auf S. 4}","Slowakei","999"
"767","JR","999",999,"999","XXI_04_0050","Kloster","999","Bez. Turc<U+0306>. [?] Martin","Sp[?]hinsal: Promnitz-D[?]graben","999"
"768","JR","999",999,"999","XXI_04_0051","Fundstollen","999","St. Proben {S. 1}. Bremnitz-[Durtsch] Proben {S. 4}","Slowakei","999"
"769","JR","999",999,"999","XXI_04_0052","Schmiedshau","999","Priewitz </Deutsch-Probener Sprachinsel/>","Slowakische Republik","999"
"770","JR","999",999,"999","XXI_04_0053","Gaidel-Gajdel","999","Prievidza","Slowakei","999"
"771","JR","999",999,"999","XXI_04_0054","Deutsch-Proben","999","Priewitz </Deutsch-Probener Sprachinsel/>","Slowakei","999"
"772","JR","999",999,"999","XXI_04_0055","Bettelsdorf","999","St-Proben {S.1}, R[emn]itz-Deutschproben","999","999"
"773","JR","999",999,"999","XXI_04_0056","Zecke","999","St-Proben","999","999"
"774","JR","999",999,"999","XXI_04_0057","Benesellau","999","St-Proben","999","999"
"775","JR","999",999,"999","XXI_04_0058","Hedwig","999","St-Proben {S.1}, Turc<U+0306>. Sv. Martin","Land Slowakei","999"
"776","JR","999",999,"999","XXI_04_0059","Bürgersch[?] in Oberstuben","999","Kremnitz","999","999"
"777","JR","999",999,"999","XXI_04_0060","Glaserhau","999","Kremnitz","Slowakei","999"
"778","JR","999",999,"999","XXI_04_0061","Unterturz","999","Kremnitz","999","999"
"779","JR","999",999,"999","XXI_04_0062","Oberturz","999","Kremnitz","Slowakei","999"
"780","JR","999",999,"999","XXI_04_0063","Unter-Drz<U+0306>kovce","Dolnie Drz<U+0306>kovce","Bànovce w. Bebr.","Slowakei <[Str]eudeutschtum>","999"
"781","JR","999",999,"999","XXI_04_0064","Krickerhau","999","St-Proben","999","999"
"782","JR","999",999,"999","XXI_04_0065","Neuhäu","999","Sankt-Proben Kremnitz","Slowakei","999"
